color_name,bl_color_name,bl_color_id,bo_color_id,rb_color_id,bk_color_id
Medium Dark Pink,Medium Dark Pink,94,75,351,80
Medium Brown,Medium Brown,240,213,1088,81
Medium Green,Medium Green,37,10,74,82
Medium Lavender,Medium Lavender,157,76,30,83
Medium Lilac,Dark Purple,89,55,85,84
Medium Lime,Medium Lime,76,77,115,85
Medium Orange,Medium Orange,31,7,462,87
Medium Pink,Light Purple,93,69,69,88
Medium Royal Blue,Medium Violet,73,78,1001,90
Metal Blue,Pearl Sand Blue,78,118,137,92
Metallic Copper,Metallic Copper,250,225,1092,93
Metallic Gold,Metallic Gold,65,124,82,94
Metallic Green,Metallic Green,70,125,81,95
Metallic Silver,Metallic Silver,67,126,80,96
Milky White,Milky White,60,130,79,97
Neon Green,Neon Green,166,,1141,98
Neon Orange,Neon Orange,165,,1140,99
Nougat,Nougat,28,6,92,100
Olive Green,Olive Green,155,79,326,101
Orange,Orange,4,80,25,102
Pearl Blue,Pearl Blue,254,189,1070,103
Pearl Dark Gray,Pearl Dark Gray,77,119,148,104
Pearl Dark Gold,Flat Dark Gold,81,21,178,105
Pearl Gold,Pearl Gold,115,120,297,106
Pearl Green,Pearl Green,253,183,1071,107
Pearl Light Gold,Pearl Light Gold,61,121,142,108
Pearl Light Gray,Pearl Light Gray,66,122,135,109
Pearl Red,Pearl Red,252,181,1069,110
Pearl Very Light Gray,Pearl Very Light Gray,119,27,150,112
Pearl White,Pearl White,83,123,183,113
Pink,Pink,23,3,13,114
Purple,Purple,24,4,22,115
Red,Red,5,81,4,116
Reddish Brown,Reddish Brown,88,82,70,117
Reddish Copper,Reddish Copper,249,227,1063,118
Reddish Gold,Reddish Gold,235,215,1065,119
Reddish Orange,Reddish Orange,167,241,1136,120
Rose Pink,Rose Pink,56,68,77,121
Royal Blue (Old Blue-Violet),Royal Blue (Old Blue-Violet),97,40,89,122
Rust,Rust,27,83,216,123
Salmon,Salmon,25,84,12,124
Sand Blue,Sand Blue,55,85,379,125
Sand Green,Sand Green,48,18,378,126
Sand Purple,Sand Purple,54,86,373,127
Sand Red,Sand Red,58,87,335,128
Satin Trans-Bright Green,Satin Trans-Bright Green,233,207,1060,129
Satin Trans-Brown,Satin Trans-Brown,229,201,1056,130
Satin Trans-Clear,Satin Trans-Clear,228,193,1055,131
Satin Trans-Dark Blue,Satin Trans-Dark Blue,232,209,1061,132
Satin Trans-Dark Pink,Satin Trans-Dark Pink,224,199,1054,133
Satin Trans-Light Blue,Satin Trans-Light Blue,223,175,1053,134
Satin Trans-Purple,Satin Trans-Purple,230,203,1059,135
Satin Trans-Yellow,Satin Trans-Yellow,170,247,1139,136
Sienna,Sienna,169,245,1137,137
Sky Blue,Sky Blue,87,88,232,138
Speckle Black-Copper,Speckle Black-Copper,116,133,75,139
Speckle Black-Gold,Speckle Black-Gold,151,35,133,140
Speckle Black-Silver,Speckle Black-Silver,111,24,132,141
Speckle DBGray-Silver,Speckle DBGray-Silver,117,134,76,142
Tan,Tan,2,89,19,143
Trans-Aqua,Trans-Aqua,113,25,43,144
Trans-Black,Trans-Black,251,235,1095,145
Trans-Bright Green,Trans-Bright Green,108,96,35,146
Trans-Brown,Trans-Brown,13,95,40,147
Trans-Clear,Trans-Clear,12,97,47,148
Trans-Dark Blue,Trans-Dark Blue,14,98,33,149
Trans-Dark Pink,Trans-Dark Pink,50,99,45,150
Trans-Green,Trans-Green,20,100,34,151
Trans-Light Blue,Trans-Light Blue,15,101,41,152
Trans-Light Bright Green,Trans-Light Bright Green,226,205,1057,153
Trans-Light Green,Trans-Light Green,221,191,1058,154
Trans-Light Orange,Trans-Light Orange,164,171,1004,155
Trans-Light Purple,Trans-Light Purple,114,26,236,156
Trans-Medium Blue,Trans-Medium Blue,74,102,143,157
Trans-Medium Purple,Trans-Medium Purple,234,107,1094,158
Trans-Neon Green,Trans-Neon Green,16,103,42,159
Trans-Neon Orange,Trans-Neon Orange,18,161,57,160
Trans-Neon Yellow,Trans-Neon Yellow,121,104,54,161
Trans-Orange,Trans-Orange,98,105,182,162
Trans-Pink,Trans-Pink,107,106,230,163
Trans-Purple,Trans-Purple,51,107,52,164
Trans-Red,Trans-Red,17,108,36,165
Trans-Yellow,Trans-Yellow,19,109,46,166
Umber,Umber,168,243,1138,167
Very Light Bluish Gray,Very Light Bluish Gray,99,90,151,168
Very Light Gray,Very Light Gray,49,19,503,169
Very Light Orange,Very Light Orange,96,91,68,170
Vibrant Yellow,Neon Yellow,368,211,1062,171
Violet,Violet,43,15,110,172
Warm Pink,Warm Pink,175,,1146,173
Warm Tan,Medium Tan,241,217,1089,174
Warm Yellowish Orange,Warm Yellowish Orange,172,8,1091,175
White,White,1,92,15,176
Yellow,Yellow,3,93,14,177
Yellowish Green,Yellowish Green,158,94,158,178
Ochre Yellow,Ochre Yellow,173,255,1145,179
Pearl Black,Pearl Black,244,185,1073,180
Pearl Brown,Pearl Brown,255,219,1072,181
